longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Complete,a9h,174554261,Reducing technology-mediated service exclusion by providing human assistant support for senior citizens: evidence from China.,"This study explored how the allocation of human assistants in a technology-mediated service setting could reduce the exclusion of senior citizens from such services. Our methodology is based on social support and protection motivation theories. Using a two-phase study with a mixed-methods approach, we firstly conducted 25 semistructured interviews to develop the research model. The model was then empirically validated using survey data from 285 Chinese senior citizens. The results revealed that senior citizens experienced defense motivation and avoidance behavior when facing technology-mediated services. However, perceived emotional support from a human assistant enhanced their evaluation of coping factors, further reducing their defense motivations and avoidance behaviors. Perceived instrumental support had a greater impact, as it both reduced their assessment of threat factors and enhanced their evaluation of coping factors. Finally, future time perspective moderated the effects of perceived support on threat and coping appraisal processing.",20231001,Yu Zhang ; Hongquan Ao ; Weibin Deng ; Yafen Yuan,Article,Academic Journal,Oct2023,true,Information Technology for Development,Older people ; Protection motivation theory ; Time perspective ; Semi-structured interviews ; Social support ; China ; Other Individual and Family Services,JOUR,,,0268-1102,,,,,eng,Taylor & Francis Ltd,715,692,24,29,4,10.1080/02681102.2023.2175768,,IFD,,https://research.ebsco.com/plink/ed153657-1d8b-3691-8639-e0ce070739a4,,,,
Business Source Complete,bth,186746075,Developing a resilient workforce in the context of organisational change: the role of employee assistance programmes.,"Employee assistance programmes (EAPs) are helpful human resource management (HRM) practices to develop a resilient workforce under drastic organisational change. However, there is limited research that explores the underlying mechanisms through which EAPs function as part of HRM strategies to foster well-being and resilience in the context of organisational change. Drawing on conservation of resources theory and social exchange theory, this study theorises and tests a model to examine whether, how, and when EAPs impact employee openness to organisational change and well-being. A two-wave time-lagged survey of 513 employees from eight private and two public organisations in China indicates that EAPs strengthen employee resilience under organisational change, which fosters employee well-being and openness to organisational change. Moreover, we verify perceived organisational justice as a critical boundary condition such that the resource exchange orientation of perceived organisational justice crowds out the positive effects of EAPs on well-being and openness to organisational change. This study empirically consolidates the strategic function of EAPs in developing a resilient workforce under organisational change and provides practical insights for management to improve EAP efficacy.",20250501,"Long, Tianyi ; Cooke, Fang Lee ; Mavondo, Felix",Article,Academic Journal,May2025,true,International Journal of Human Resource Management,"Employee assistance programs ; Organizational change ; Organizational justice ; Resource-based theory of the firm ; Personnel management ; Job involvement ; China ; Human Resources Consulting Services ; Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) ; Well-being",JOUR,,,0958-5192,,,,,eng,Taylor & Francis Ltd,1620,1592,29,36,9,10.1080/09585192.2025.2458281,,3CC,,https://research.ebsco.com/plink/e898ffa0-e14d-3629-a81d-93fe6bce50af,,,,
Business Source Complete,bth,187384209,Double-edged sword effect of stretch goal: is stretch goal a burden or boost to employees?,"Drawing upon conservation of resources theory, we examine how and when stretch goals affect work effort and cheating behavior. We conduct an online experimental study (Study 1, N = 194) and a three-wave field study (Study 2, N = 298) to test our hypotheses. Results show that trait resilience moderates the relationship between stretch goals and work meaningfulness. When trait resilience of employees is high, stretch goals generate work meaningfulness, which in turn promotes work effort. Meanwhile, stretch goals are indirectly related to cheating behavior through emotional exhaustion. Moreover, trait resilience alleviates the link between stretch goals and emotional exhaustion and the indirect effect of stretch goals on cheating behavior through emotional exhaustion. The present study provides important theoretical and practical implications.",20250601,"Zhang, Zhe ; Chen, Chang ; Jia, Ming",Article,Academic Journal,Jun2025,true,Asia Pacific Journal of Management,Employee motivation ; Job involvement ; Psychological burnout ; Resource allocation ; Organizational resilience ; Goal (Psychology),JOUR,,,0217-4561,,,,,eng,Springer Nature,743,715,29,42,2,10.1007/s10490-024-09956-2,,0HS,,https://research.ebsco.com/plink/953dbcf7-b8b5-3e60-b972-21116e79604b,,,,
Business Source Complete,bth,184444587,Coping Responses to the Stress of Using News Platforms' Recommendation Algorithms.,"Drawing on the stressor–strain–outcome (SSO) framework, this study examined how information-related stressors (perceived information overload, information quality deterioration, and information narrowing) and privacy-related stressor (perceived privacy risk) in using news platforms' recommendation algorithms trigger users' psychological reactance, which leads to their active coping, expressive coping, or avoidance coping with their stress in using such recommendation algorithms. Using a sample of 352 valid research responses, this study found that users' psychological reactance is positively influenced by perceived information quality deterioration, followed by perceived information overload and perceived privacy risk. Meanwhile, perceived information narrowing has no significant impact on psychological reactance. In turn, psychological reactance exerts a stronger impact on expressive coping and avoidance coping responses than on active coping response. This study enriches the literature on the stress in algorithm usage at the individual level and provides practical insights for the providers of news platforms which have applied recommendation algorithms.",20250415,"Yang, Jie ; Li, Hongxiu ; Zhang, Linzi ; Xu, Guohu",Article,Academic Journal,Apr2025,true,International Journal of Human-Computer Interaction,Psychological reactance ; Information overload ; Stress management ; Psychological factors ; Psychological stress,JOUR,,,1044-7318,,,,,eng,Taylor & Francis Ltd,4774,4759,16,41,8,10.1080/10447318.2024.2352937,,7M5,,https://research.ebsco.com/plink/193f43f9-2bc1-39c6-8779-a234b5151f72,,,,
Business Source Complete,bth,185888470,Beyond the cost–benefit trade-off: How trust shapes consumers’ decisions to grant permission for personalized marketing content.,"Grounded in <italic>Privacy Calculus Theory</italic>, this study investigates the factors influencing Middle Eastern consumers’ decisions to grant permission for personalized marketing content. Data from 247 respondents in the UAE were collected using an online survey and analyzed using PLS-SEM. Results revealed that perceived relevance positively influences permission-granting decisions, while privacy concerns and intrusiveness have negative impacts. Registration costs, social benefits, and economic benefits show no significant influence. Trust only moderates the relationship between privacy concerns and permission granting, with a higher level of trust diminishing the negative influence of privacy concerns. This study offers one of the first empirical insights into permission marketing dynamics in the Middle East. This underscores the important role of personal relevance, privacy concerns, and intrusiveness, as well as the mitigating effect of trust. These insights are invaluable for Middle Eastern companies aiming to develop strategies to increase consent rates for personalized marketing.",20250615,"Haj-Salem, Narjes ; Damra, Yousef ; Hamouche, Salima ; Ishaq, Muhammad Ishtiaq ; Raza, Ali",Article,Academic Journal,Jun2025,true,Journal of Marketing Communications,Market segmentation ; Consumer behavior ; Consumers ; Middle East ; United Arab Emirates ; Trust ; Privacy ; Consent (Law),JOUR,,,1352-7266,,,,,eng,Taylor & Francis Ltd,24,1,24,,,10.1080/13527266.2025.2518456,,5BQ,,https://research.ebsco.com/plink/d652942a-1fb6-3a8e-a69f-7698ecfb4f7c,,,,
Business Source Complete,bth,184289413,Men’s experiences of family supportive supervisor behavior through the lens of gender role traditionalism and nation of residence.,"Guided by Aycan’s (2008) cross-cultural model of culture and work-family conflict as well as gender role and the Job Demands-Resources theories, this study tests a model to examine the moderating effects of gender role traditionalism (GRT) as individual differences and cross-national social context in a mediation model where work-family conflict mediates the relationship between family-supportive supervisor behaviors (FSSB) and turnover intentions. The study sample included 366 men who were employed at car dealerships in Mexico or the United States. Results indicate that FSSB has a negative significant relationship with turnover intentions, while time-based conflict from their family-to-work role (FWC) and strain-based work-to-family role conflict (WFC) mediate that relationship. Further, an interaction between FSSB, country of residence, and GRT was significant for time and strain-based FWC. Additionally, interaction results indicate that men in the United States with low gender role traditionalism experienced less time-based WFC when employees perceived high FSSB in comparison to men with high gender role traditionalism and men in Mexico. Implications of this study indicate that men’s work-family experiences are associated with FSSB but that managers should consider how cultural values might affect the importance of workplace resources.",20250408,"Olson, Kristine J. ; Leiva, Pedro ; Huffman, Ann ; Wolburg Martinez, Fernanda",Article,Academic Journal,Apr2025,true,"Community, Work & Family",Family-work relationship ; Gender role ; Culture conflict ; Cultural values ; Cross-cultural differences ; Individual differences ; Role conflict,JOUR,,,1366-8803,,,,,eng,Taylor & Francis Ltd,29,1,29,,,10.1080/13668803.2025.2486127,,35S,,https://research.ebsco.com/plink/bff7b28b-2bc3-3e64-960e-983b57c62575,,,,
Business Source Complete,bth,183990569,Moral licensing effect of work engagement: The role of psychological entitlement and relationship conflict with supervisors.,"Given the importance of work engagement for organizations and the almost unified and steadfast understanding of its benefits, it is imperative to investigate the potential downside of work engagement to prevent unexpected damage. However, there has been relatively little research on its negative impacts. Drawing on the moral licensing theory, this study identifies the potential negative effects of work engagement by exploring the mediating role of psychological entitlement. An online experiment and a survey are conducted to test the theoretical model. The results reveal that work engagement leads to deviant workplace behavior through psychological entitlement only in cases where there is a higher level of relationship conflict with supervisors. The conclusions of this study shed light on how work engagement negatively affects organizations. The current study also contributes to practice by suggesting that supervisors should be aware of employees with a higher level of work engagement and communicate with them in a reasonable manner.",20250401,"Zhang, Lianghua ; Wang, Yongli",Article,Academic Journal,Apr2025,true,"Business Ethics, the Environment & Responsibility",Supervision ; Organizational behavior ; Job involvement ; Deviant behavior ; Attitudes toward entitlement ; Interpersonal conflict ; Justification (Ethics),JOUR,,,2694-6416,,,,,eng,Wiley-Blackwell,436,423,14,34,2,10.1111/beer.12659,,MSRV,,https://research.ebsco.com/plink/e2458f54-dddb-345b-8850-6cbcf236d3b2,,,,
Business Source Complete,bth,186618169,"Supplier Orientation and Furniture Manufacturing Small and Medium Enterprises' Performance in Dar es Salaam, Tanzania: Customer Loyalty's Role.","Supplier orientation's role in augmenting firms' performance is gaining increasing attention from scholars. However, empirical research examining this relationship remains limited. Examination of the effects of supplier orientation dimensions on SMEs' performance in the sector involved in furniture manufacturing in Dar es Salaam, Tanzania was undertaken, focusing on the mediating role of customer loyalty. Using a quantitative correlational design, data from 350 furniture manufacturing SMEs through a cross-sectional questionnaire-based survey were attained. By employing covariance-based structural equation modelling, the analysis revealed that customer loyalty partially acted as a mediator between supplier orientation dimensions and furniture-manufacturing SMEs performance relationships. Notably, collaborative relationships with suppliers exhibited the strongest positive indirect effect on furniture-manufacturing SMEs performance (ß = 0.1621), followed by information sharing with suppliers (ß = 0.1265). In contrast, supplier evaluation and selection exhibited the weakest indirect effect (ß = 0.0543). The outcomes stipulate the importance of fostering long-term collaborative relationships and effective information sharing with suppliers to enhance customer loyalty and drive superior firm performance. The furniture manufacturing SMEs should prioritise in building long-term supplier collaborations that create synergy for open communication and value co-creation to nurture customer loyalty and, consequently, drive superior firm performance.",20250601,"Bwemelo, Gordian Stanslaus ; Mmari, Goodluck Aletaulwa ; Mashenene, Robert Galan",Article,Academic Journal,Jun2025,true,"International Journal of Management, Accounting & Economics",Furniture manufacturing ; Small business ; Organizational performance ; Customer cocreation ; Information sharing ; Customer loyalty ; Nonupholstered Wood Household Furniture Manufacturing ; Household Furniture (except Wood and Metal) Manufacturing ; Marketing Research and Public Opinion Polling ; Marketing Consulting Services ; Structural equation modeling,JOUR,,,2383-2126,,,,,eng,"International Journal of Management, Accounting & Economics",898,865,34,12,6,10.5281/zenodo.15824866,,HGXE,,https://research.ebsco.com/plink/fbee71b4-c102-3da1-a7c1-6e0f7e80741d,,,,
Academic Search Complete,a9h,171105153,Can adopting lean startup strategy promote the sustainable development of new ventures? The mediating role of organizational iterative learning.,"When high uncertainty becomes the norm in entrepreneurship, entrepreneurial failure often becomes the first natural barrier that new ventures face. In dynamic environment, there is still a lack of clear answers on what strategic orientation new ventures need to adopt to improve organizational learning efficiency and achieve sustainable development. Lean startup theory believes that the entrepreneurial process is also a process where organizational cognition is constantly iterated and updated, which drives entrepreneurs to explore business opportunities through iteration learning and early customer insight. The paper aims to describe and examine the relationship between lean startup strategy, organizational iterative learning, and sustainable development of new ventures. This model is tested on the survey data of R&D departments of 325 technology new ventures in China. The research results show that: lean startup strategy can positively affect sustainable performance of new ventures; organizational iterative learning plays a mediating role in the relationship between lean startup strategy and sustainable development; market dynamics positively moderate the relationship between organizational iterative learning and sustainable development, while technology dynamics negatively moderate this relationship; furthermore, the two also moderate the process of lean startup strategy influencing sustainable development through organizational iterative learning, and that moderated mediating effect is significant. The research results reveal that entrepreneurs should deepen lean startup practices in new business layout, advocate the iteration and output of advanced knowledge, help enterprises establish proprietary knowledge barriers, and achieve sustainable development.",20230830,"Zhuge, Kai ; He, Huitao ; Yuan, Yongzhi ; Sun, Peiting",Article,Academic Journal,8/30/2023,true,PLoS ONE,Organizational learning ; New business enterprises ; Businesspeople ; Sustainable development ; Failure (Psychology) ; Entrepreneurship ; China ; Administration of General Economic Programs,JOUR,,,1932-6203,,,,,eng,Public Library of Science,20,1,20,18,8,10.1371/journal.pone.0290849,,78BE,,https://research.ebsco.com/plink/89190181-631f-37e3-a127-28fece3974fe,,,,
Academic Search Complete,a9h,170022693,Paths to Team Success: A Configurational Analysis of Team Effectiveness.,"This study investigates how two team processes (team learning, team conflict) and two team emergent states (team trust and team psychological safety) combine to yield three team effectiveness dimensions: team performance, quality of the group experience and team viability. Eighty-two teams (353 team members and 82 team leaders) were surveyed. Using a configurational approach, different routes that lead to the same outcome were identified. Moreover, the results suggest that the conditions that lead to high levels of team effectiveness are not the mirror opposite of the conditions that lead to low levels. The findings emphasize the importance of monitoring the effectiveness of a team in its different components and reinforce the notion that cognitive trust is a core condition for team success. Additionally, it is shown that the importance of intragroup conflicts for team effectiveness is contingent on the presence of other processes and emergent states.",20230801,"Dimas, Isabel Dórdio ; Torres, Pedro ; Rebelo, Teresa ; Lourenço, Paulo Renato",Article,Academic Journal,2023,true,Human Performance,Psychological safety ; Teams ; Trust ; Team learning approach in education,JOUR,,,0895-9285,,,,,eng,Taylor & Francis Ltd,179,155,25,36,4,10.1080/08959285.2023.2222272,,7LX,,https://research.ebsco.com/plink/fa3d5fe3-5ff9-30fc-88f7-fcadd3bf6bae,,,,
Academic Search Complete,a9h,164799514,The association between physical activity and subjective well-being among adolescents in southwest China by parental absence: a moderated mediation model.,,20230710,"Zhang, Ming ; Xu, Xiaohe ; Jiang, Jianjun ; Ji, Yuanyi ; Yang, Ruixi ; Liu, Qijiao ; Li, Shiying ; Li, Yuchen ; Liu, Qiaolan",Article,Academic Journal,7/10/2023,true,BMC Psychiatry,,JOUR,,,1471-244X,,,,,eng,BioMed Central,15,1,15,23,1,10.1186/s12888-023-04982-8,,1CIJ,,https://research.ebsco.com/plink/c47f5a61-3927-3d32-b2e6-2a0e3a1c1903,,,,
Complementary Index,edb,188172208,Leader humility and employee proactivity: sequential affective mediation and the moderating effect of role breadth self-efficacy.,"Despite established links between leader humility and employee proactive behavior, the affective transmission mechanisms and boundary conditions remain theoretically underdeveloped. Guided by Affective Events Theory, this study examines how and when leader humility influences employee proactive behavior through sequential mediation in Chinese organizations. In Study 1, a scenario-based experiment with 105 participants, demonstrates that leader humility enhances employee proactive behavior by fostering positive mood and affective commitment. In Study 2, which collected multi-source survey data from 51 supervisors and 290 subordinates, confirms this chain mediation and further reveals that role breadth self-efficacy amplifies both the effect of affective commitment on proactive behavior and the overall indirect effect of leader humility. Theoretical and practical implications are discussed, along with the directions for future research.",20250924,"Chen, Yanhong ; Zhao, Jingshi ; Jin, Meifen ; Lan, Xiaoyun",Article,Academic Journal,2025,true,Frontiers in Psychology,SUPERIOR-subordinate relationship ; AFFECT (Psychology) ; SELF-efficacy ; HUMILITY,JOUR,,,1664-1078,,,,,eng,Frontiers Media S.A.,14,1,14,,,10.3389/fpsyg.2025.1592148,,EV3B,,https://research.ebsco.com/plink/8df97b7a-843c-310f-b1f9-f693c07e787a,,,,
Complementary Index,edb,187706034,Latent depressive profiles and associated factors among overweight/obese individuals based on the socio-ecological model: a cross-sectional national survey in China.,"Background: Overweight/obesity is associated with an increased risk of depression, which compromises the mental health of affected individuals. This study aimed to identify distinct depressive subtypes among overweight/obese individuals and examine associated multilevel factors based on the socio-ecological model (SEM), for guiding interventions enhancing mental health in this population. Methods: Data were derived from the Psychology and Behavior Investigation of Chinese Residents in 2021 (PBICR 2021). Assessment instruments included a General Information Questionnaire, the Patient Health Questionnaire-9, the Eating Behavior Scale-Short Form, the Family Health Scale-Short Form, and the Perceived Social Support Scale. Latent profile analysis (LPA) was employed to identify depressive subtypes, and multinomial logistic regression was used to examine associated multilevel factors across the identified subtypes. Analyses were conducted using SPSS 24.0 and Mplus 8.3. Results: This study included 2,588 participants classified into low-level (52.3%), moderate-level (36.6%), and high-level depression (11.1%) groups. Compared to the low-level group, high-level depression was significantly associated with age (18–45 years), current medication count (≥3, excl. supplements), out-of-pocket medical expenditures, higher abnormal eating behavior scores, and lower family health and social support scores. Similarly, moderate-level depression showed significant associations with female gender, age (18–45 years), having chronic conditions, current medication count (≥3, excl. supplements), out-of-pocket medical expenditures, higher abnormal eating behavior scores, and lower family health and social support scores. Conclusion: Depression demonstrates significant heterogeneity in overweight/obese individuals, with three distinct latent profiles identified. These findings highlight the need for future primary healthcare to prioritize personalized, depression subtype-specific interventions for overweight/obese individuals, guided by multidimensional factors identified through SEM, to improve mental health.",20250902,"Yang, Xiaoping ; Chen, Miaomiao ; Liu, Xiaohui ; Wang, Lijun ; Wang, Yanyun ; Zheng, Yingjie ; Ma, Shailing",Article,Academic Journal,2025,true,Frontiers in Psychology,CHINA ; Offices of Mental Health Practitioners (except Physicians) ; MENTAL health ; OBESITY ; ECOLOGICAL models ; LATENT class analysis (Statistics) ; MENTAL depression ; PSYCHOTHERAPY,JOUR,,,1664-1078,,,,,eng,Frontiers Media S.A.,11,1,11,,,10.3389/fpsyg.2025.1644701,,EV3B,,https://research.ebsco.com/plink/f50ddd18-2237-3e3b-9814-36e8bc3d524f,,,,
Complementary Index,edb,187534190,Perceived organizational support on compassion fatigue among kindergarten teachers: a chain mediation model analysis of professional identity and emotional intelligence.,"Background: Kindergarten teachers are vulnerable to compassion fatigue, which threatens their physical and mental health. Drawing upon the compassion fatigue model, this study aims to explore the impact of perceived organizational support (POS) on compassion fatigue, while examining the mediating effects of professional identity and emotional intelligence in this relationship. Methods: A convenience sampling method was used to conduct a questionnaire survey with 1104 kindergarten teachers from Henan, Shaanxi, Hubei, and Anhui Provinces in China. This study utilized a general information questionnaire, a POS scale, a professional identity scale, an emotional intelligence scale, and a compassion fatigue scale to construct and test a chain mediation model. Results: The results showed that (1) POS, professional identity, emotional intelligence, and compassion fatigue, were significantly correlated in pairs, and (2) POS can not only directly affect compassion fatigue, but also affect compassion fatigue through three indirect effects, namely, the separate mediating effect of professional identity and emotional intelligence (mediating effect size − 0.16, -0.24, respectively), and the chain mediating effect of professional identity → emotional intelligence (mediating effect size − 0.09). Conclusion: This study reveals that POS is negatively associated with compassion fatigue, and professional identity and emotional intelligence play a chain mediating role in this relationship. Kindergarten administrators should focus on creating supportive organizational environments, enhancing teachers' professional identity, and improve their emotional intelligence to alleviate compassion fatigue among kindergarten teachers.",20250825,"Cai, Ge ; Guo, Liqiang ; Li, Xiaoning",Article,Academic Journal,8/25/2025,true,BMC Psychology,CHINA ; Offices of Mental Health Practitioners (except Physicians) ; KINDERGARTEN teachers ; PROFESSIONAL identity ; MEDIATION (Statistics) ; SECONDARY traumatic stress ; EMOTIONAL intelligence ; MENTAL health ; EMPLOYEE psychology ; INSTITUTIONAL environment,JOUR,,,2050-7283,,,,,eng,BioMed Central,12,1,12,13,1,10.1186/s40359-025-03299-3,,GBKR,,https://research.ebsco.com/plink/54f5e37a-b12e-3e62-a57e-6a8c3927d1bc,,,,
Complementary Index,edb,185784236,Green information systems efforts and SMEs' environmental and financial performance: how do eco-management practices shape the story?,"Little is known about the effect of using green information systems (green IS) in small and medium‐sized enterprises (SMEs). While a tendency for limited resources already constrains the integration of green IS for SMEs, understanding how green IS can help SMEs achieve better environmental and financial performance is critical to implement circular economy. This study examines the effect of green IS on Turkish SMEs' environmental and financial performance and the moderator effect of eco-management practices on the indirect impact of green IS on a firm's financial performance via the firm's environmental performance. To examine the various elements forming this study, a model was developed based on the natural resource-based view of a company. The data was collected from Turkish SMEs. Results show that green IS practices can help SMEs' environmental and financial performance. Furthermore, results indicate the importance of eco-management practices in the success of green IS integration.",20250815,"Uzkurt, Cevahir ; Arslan, Safa ; Ekmekcioglu, Emre Burak ; Ceyhan, Semih",Article,Academic Journal,Aug2025,true,Journal of Environmental Planning & Management,RESOURCE-based theory of the firm ; CIRCULAR economy ; SMALL business ; FINANCIAL performance ; INFORMATION storage & retrieval systems,JOUR,,,0964-0568,,,,,eng,Taylor & Francis Ltd,2393,2373,21,68,10,10.1080/09640568.2024.2313186,,ENP,,https://research.ebsco.com/plink/c5b45d0a-bc4a-370e-ac87-cf2930c21d9c,,,,
Complementary Index,edb,187347495,E‐Skill Self‐Efficacy and Perceived Performance in Remote Work: A Cross‐Lagged Study on the Mediating Role of Technostressors.,"The shift to hybrid work necessitates a deeper understanding of the personal resources that enhance employee adaptation and performance, particularly in remote settings. Grounded in social cognitive theory, this study investigates the impact of e‐skill self‐efficacy—employees' confidence in managing remote work tasks, time, and balancing job demands with personal life—on perceptions of technoinvasion and techno‐overload, as well as on overall and remote work performance. The study involved 899 hybrid workers from the same organization, all following a 50/50 remote and in‐office schedule. Data was collected at two time points, 3 months apart. Cross‐lagged model analyses revealed that higher e‐skill self‐efficacy was negatively related to perceptions of technoinvasion (work interfering with personal life) and techno‐overload (pressure to work faster and longer due to technology). Technoinvasion was negatively associated with self‐reported remote work performance, while techno‐overload had a positive association. Neither technostressor significantly impacted overall performance. Moreover, technoinvasion mediated the relationship between e‐skill self‐efficacy and remote work performance: Hybrid workers with higher self‐efficacy were less likely to experience technoinvasion, allowing them to maintain better performance in remote settings. The findings provide actionable insights for organizations seeking to optimize employee performance in increasingly digital and flexible work environments.",20250815,"Massa, Nicoletta ; Sommovigo, Valentina ; Rubera, Andrea ; Consiglio, Chiara ; Yang, Tianan",Article,Academic Journal,8/15/2025,true,Human Behavior & Emerging Technologies,SELF-efficacy ; JOB performance ; INFORMATION overload ; TELECOMMUTING ; FLEXIBLE work arrangements ; JOB stress ; SOCIAL cognitive theory,JOUR,,,2578-1863,,,,,eng,Wiley-Blackwell,16,1,16,,,10.1155/hbe2/8886180,,LWCS,,https://research.ebsco.com/plink/8edc1d43-75f5-3dc4-88d6-faf53e49ec27,,,,
Complementary Index,edb,187347875,How Does Human-Robot Collaboration Affect Hotel Employees' Proactive Behavior?,"Based on Conservation of Resources (COR) theory, this study collected the data of 342 front-line employees of five-star hotels in northeast China by means of longitudinal data collection. SPSS 25.0 and Mplus 8.0 were used for data analysis to test the hypotheses proposed in this study. This study found that workload and harmonious passion play a mediating role between human-robot collaboration and proactive behavior. Robot trust not only moderates the relationship between human-robot collaboration on workload and harmonious passion, but also moderates the mediating effect of workload and harmonious passion. This study not only examines the effects of human-robot collaboration on the proactive behavior of hotel employees through cognitive and emotional pathways, but verifies the boundary conditions of robot trust. Otherwise, our study validates and extends COR theory to some extent.",20250815,"Li, Jia-Min ; Liu, Ke-Xi ; Xie, Ji-Fei ; Wu, Hao-Yu",Article,Academic Journal,Aug2025,true,International Journal of Human-Computer Interaction,CHINA ; HOTEL employees ; EMPLOYEES' workload ; HUMAN behavior ; DATA analysis ; ENTHUSIASM ; RESOURCE management ; HUMAN-robot interaction,JOUR,,,1044-7318,,,,,eng,Taylor & Francis Ltd,10244,10230,15,41,16,10.1080/10447318.2024.2431769,,7M5,,https://research.ebsco.com/plink/f9e46d13-874c-3eac-bbb1-e099d059e2e9,,,,
Complementary Index,edb,187377680,Political climate and workplace cyberbullying perpetration: a multilevel moderated mediation model.,"Background: In the post-COVID-19 era, more work is being done online; more people are working remotely; and communication has shifted online. Increased concerns about workplace cyberbullying (WCB) have accompanied these changes in work, but the scholarly literature is limited in terms of understanding the characteristics of organizations and individual perpetrators that shape WCB behavior. Drawing upon social exchange theory and the literature on organizational politics, we proposed and tested a multilevel moderated mediation model to examine the cross-level direct and indirect relationships between political climate and WCB perpetration mediated through psychological contract violation, and we also investigated the moderating role of toxic online disinhibition in this process. Methods: We collected multiphase and multilevel data from 416 white-collar employees nested within 30 organizations in the service sector in Islamabad, Pakistan. We used a multilevel structural equation modeling (MSEM) technique in Mplus to analyze the data. Results: We found a direct and positive cross-level relationship between political climate and WCB perpetration. Multilevel mediation analysis revealed that psychological contract violation mediates the cross-level relationship between political climate and WCB perpetration. Moreover, multilevel moderated mediation analysis suggested that the conditional cross-level indirect effect of political climate on WCB perpetration via psychological contract violation was stronger and significant at higher levels of toxic online disinhibition, whereas it was weaker and non-significant at lower levels of toxic online disinhibition. Conclusion: Studies exploring the situational antecedents of WCB perpetration are scarce, particularly at the organizational level. We proposed and tested a multilevel model of WCB perpetration indicating that political climate leads individuals to engage in WCB perpetration directly as well as indirectly through its impact on psychological contract violation. We outline a number of practical implications and suggest future research directions.",20250812,"Malik, Omer Farooq ; Pichler, Shaun ; Shahzad, Asif ; Jawad, Nazish",Article,Academic Journal,8/12/2025,true,BMC Psychology,,JOUR,,,2050-7283,,,,,eng,BioMed Central,16,1,16,13,1,10.1186/s40359-025-03239-1,,GBKR,,https://research.ebsco.com/plink/e173c710-744b-3695-8503-6760ae5d39ba,,,,
Complementary Index,edb,187554733,The Dark Side of Employee's Leadership Potential: Its Impact on Leader Jealousy and Ostracism.,"In today's rapidly evolving organizations, talent management plays a critical role in driving sustainable growth. Talents, particularly those exhibiting leadership potential, are often seen as essential assets for organizational development. However, the presence of high employee's leadership potential can also generate adverse emotional reactions from leaders, potentially leading to behaviors such as leader jealousy and leader ostracism. This study investigates the dark side of employee's leadership potential by examining the mechanisms through which employee's leadership potential influences leader ostracism, with leader jealousy acting as a mediator. Drawing on social comparison theory, we propose a theoretical model that includes organizational competitive climate and leader's core self-evaluation as moderating factors. Using a three-wave survey of 672 leaders in the Chinese construction industry, hierarchical regression analysis was employed to test the hypotheses. The results show that employee's leadership potential significantly increases both leader jealousy and leader ostracism, with leader jealousy serving as a mediator. Moreover, a high organizational competitive climate strengthens the relationship between employee's leadership potential and leader jealousy, thereby enhancing the entire mediated effect. In contrast, high leader core self-evaluation weakens the relationship between employee's leadership potential and leader jealousy, reducing the likelihood of leader ostracism and attenuating the mediated effect. This study provides both theoretical contributions and practical insights for organizations seeking to manage high-leadership potential employees while minimizing the risk of negative leadership behaviors.",20250801,"Yu, Zhen ; Wang, Feiwen ; Ye, Long ; Liao, Ganli ; Zhang, Qichao",Article,Academic Journal,Aug2025,true,Behavioral Sciences (2076-328X),"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) ; Human Resources Consulting Services ; TALENT management ; LEADERSHIP ; SELF-evaluation ; SOCIAL comparison ; EMOTIONS ; REJECTION (Psychology) ; INSTITUTIONAL environment",JOUR,,,2076-328X,,,,,eng,MDPI,,1001,,15,8,10.3390/bs15081001,,FDU1,,https://research.ebsco.com/plink/cc64c6ac-04ed-3887-a6ab-88763bb187ec,,,,
